Date,Time,Open,High,Low,Close,Volume
21/04/2017,00:00,109.381,109.387,108.875,109.147,105148
23/04/2017,00:00,110.457,110.469,109.931,110.018,16933
24/04/2017,00:00,110.017,110.343,109.588,109.625,129043
25/04/2017,00:00,109.625,111.182,109.619,111.069,118436
26/04/2017,00:00,111.069,111.771,110.865,111.170,145119
27/04/2017,00:00,111.173,111.594,111.038,111.212,122035
28/04/2017,00:00,111.213,111.712,111.066,111.493,101764
30/04/2017,00:00,111.313,111.405,111.201,111.299,6477
01/05/2017,00:00,111.298,111.937,111.296,111.813,84910
02/05/2017,00:00,111.816,112.300,111.809,111.968,97049
03/05/2017,00:00,111.968,112.824,111.964,112.795,99092
04/05/2017,00:00,112.795,113.043,112.312,112.542,110540
05/05/2017,00:00,112.542,112.795,112.084,112.713,107680
07/05/2017,00:00,112.917,112.957,112.615,112.656,11153
08/05/2017,00:00,112.656,113.289,112.388,113.214,100919
09/05/2017,00:00,113.214,114.322,113.128,113.695,116000
10/05/2017,00:00,113.693,114.363,113.643,114.330,116147
11/05/2017,00:00,114.329,114.343,113.450,113.811,106302
12/05/2017,00:00,113.813,113.948,113.195,113.341,99899
14/05/2017,00:00,113.166,113.343,113.144,113.260,9830
15/05/2017,00:00,113.259,113.847,113.230,113.640,93014
16/05/2017,00:00,113.640,113.767,112.617,112.686,112695
17/05/2017,00:00,112.686,112.728,110.515,111.058,172184
18/05/2017,00:00,111.058,111.729,110.232,111.429,195872
19/05/2017,00:00,111.427,111.695,111.030,111.251,125335
